keywords,id,year,_title,_material,_dimension,_inscription,_provenance
"drawing, british landscape, miniature",PA-F00919-0025,1977,Loch Ness From Dores,Pen and slight wash,0. 200 x 0. 262 (7 3/8 x 10 3/8 inches ),,"N. C. Green, given 1949 to A. Paul Oppé (1878–1957); D. L. T. Oppé (2377)"
"painting, british landscape",PA-F00919-0033,1973,"Sir John Tregonwell (D1565) Of Milton Abbey, Dorset, Master In Chancery, And Mp",,,"Engraving from Dr Robert Thornton""s Antiquities of Nottingham (1677)",Print in BM. Old Cromm. Topography of Nottingham. Plan press 65
"painting, british landscape",PA-F00919-0061,1964,Covent Garden From The South East,,44 1/2 x 101 1/4 inches,,Earl of Pembroke & Montgomery
"drawing, british landscape, miniature",PA-F00920-0015,1977,Temple Of The Sybil At Tivoli,Pen and grey wash,0. 138 x 0. 180 (5 3/8 x 7 1/8 inches ),,"Platt sale, Putticks, 1920, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (871)"
"drawing, british landscape",PA-F00920-0025,1974,A View Of A Hill Town Possibly In North Africa With A Row Of Cannons In The Foreground,Watercolour,0. 508 x 0. 762 (20 x 30 inches ),,"Anonymous sale, Christie's, 17/18 January 1974 (53), bought Perman"
"painting, foriegn landscape",PA-F00920-0053,1970,"British Residency, Hyderabad",,,,"Victoria Memorial, Calcutta (982)"
"painting, foriegn landscape",PA-F00921-0017,1980,Unidentified Country House View,,0. 89 x 1. 22 (35 x 48 inches ),,Thomas Sainsbury
"watercolour, painting, drawing, interior",PA-F00921-0063,1977,Cloisters With Wooden Roofs,Chalk and watercolour,0. 255 x 0. 330 (10 x 13 inches ),,"Blofeld. Crook 1925, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (1773)"
"historical event, seascape, painting",PA-F00922-0007,1974,Plate Of Steam Packets Dedicated To King George Iv,Engraving,,,Paul Mellon (1907–1999)
"seascape, painting",PA-F00922-0013,1964,The Taking Of The Spanish Galleon 'nuestra Senora De Cobadonga',Canvas,26 1/4 x 34 inches,,Mrs Elliot Butler. No further news since 1972.
"seascape, painting",PA-F00922-0029,1964,,Oil on canvas,32 3/4 x 56 1/4 inches,,Lt. Commander & the Hon. Mrs Mildmay-White
"drawing, male portrait",PA-F00923-0009,1977,Man Writing At A Table,,,,"Fosters 1933, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (2034)"
"drawing, male portrait",PA-F00923-0037,1977,Male Nude As A Bacchus,Black and white chalks on brown paper,,,D. L. T. Oppé (1896a)
"painting, watercolour, female portrait",PA-F00923-0039,1977,Head From Filippo Lippi's coronation Of The Virgin,Watercolour,0. 252 x 0. 178 (10 x 7 inches ),,D. L. T. Oppé (no no. )
"drawing, female portrait",PA-F00923-0047,1977,Child Feeding Chickens,Pencil,0. 360 x 0. 248 (14 1/8 x 9 3/4 inches ),,"Reading 1913, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (300)"
"drawing, female portrait",PA-F00923-0055,1977,Female Nude,Black and white chalk on brown paper,,,D. L. T. Oppé (1896b)
"painting, group portrait, male portrait, female portrait",PA-F00925-0035,1972,Swearing A Child To A Victim,Pen and black ink and grey wash,0. 264 x 0. 346 (10 3/8 x 5/8 inches ),,"Dr. J. Percy. Christie's, 15-18 April 1890 (589) Anonymous sale, Christie's, 7 November 1972 (63), bought Sabin Galleries, London"
"drawing, group portrait, male portrait",PA-F00925-0039,1977,Two Men Playing Backgammon,Pen over pencil,0. 152 x 0. 220 (6 x 8 5/8 inches ),,Lord Warwick. Randall Davies. A. Paul Oppé (1878–1957) 1947; D. L. T. Oppé (2328)
"drawing, group portrait, male portrait",PA-F00925-0043,1977,Six Heads,Pencil,0. 305 x 0. 242 (12 x 9 1/2 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1376)
"drawing, female portrait",PA-F00914-0003,1986,Lady Rebecca Herbert Lady Abergavenny 1732,,,,Hove Museum and Art Gallery
"drawing, female portrait",PA-F00914-0015,1974,Elizabeth (Wynne) Mrs Assheton-Smith,,1. 270 x 1. 015 (50 x 40 inches ),,"Col. J. Ca. Wynne-Finch, Voelas, nr. Bettws-y-Coed. Private Collection, U. K."
"drawing, female portrait",PA-F00914-0037,1991,Miss Molly Blandy,Engraving,,,"British Museum (Portraits Class X, period 3)"
"painting, female portrait",PA-F00914-0089,1987,Rev Mother Joseph Edwards Ibvm,,,,"Ascot St. Mary's, Convent"
"painting, female portrait, royal portrait",PA-F00914-0095,1972,"Called frances (Howard), Countess Of Essex (1590 - 1632)",,,,"The National Trust, The Vyne. (Sir Charles Chute, 1956)"
"painting, female portrait",PA-F00914-0105,1974,"Sarah Fanshawe, Nee Evelyn (D 1717)",,,,"Private Collection, Essex."
"painting, female portrait",PA-F00914-0113,1974,"Jane(Wynne), Hon Mrs Finch (1747-1811)",,1. 270 x 1. 015(50 x 40 inches ),,"Col. J. Ca. Wynne Finch, Voelas, nr. Bettws-y-Coed. Private Collection, U. K."
"painting, female portrait",PA-F00914-0117,1989,"A Lady, Said To Be The Wife Of Richard Frewen",Oval,0. 737 x 0. 61 (29 x 24 inches ),Inscribed: PULCHRIOR EFFIGI IAC/EDEFARE EURGO VIRO,"Brickwall House School, E. Sussex"
"painting, female portrait, royal portrait",PA-F00916-0007,1974,"Lady Elizabeth (Finch), Countess Of Mansfield",Painted,,,"Col. J. Ca. Wynne Finch, Voedas, nr. Bettws-y-Coed. Private Collection"
"painting, female portrait, royal portrait",PA-F00916-0013,1984,Mother Of The 10th Viscount Massareene,,,,Private Collection
"painting, female portrait, royal portrait",PA-F00916-0041,1975,"Lady Louisa North, 2nd Daughter Of 1st Earl Guilford",,1. 190 x 1. 345 (47 x 53 inches ),,Private Collection
"painting, female portrait, royal portrait",PA-F00916-0085,1972,"Elizabeth, Duchess Of Rutland",,0. 712 x 0. 482 (28 x 19 inches ),,Cadland Settled Estates
"painting, female portrait, royal portrait",PA-F00916-0115,1972,Julia E Smith,,0. 584 x 0. 458 (23 x 18 inches),,By descent to the present owner: Private Collecton.
"painting, female portrait",PA-F00916-0143,1985,Armine (L'estrange) Styleman,,,,Private Collection
"painting, female portrait",PA-F00916-0147,1985,Catherine (Henley) Styleman,,,,Private Collection
"painting, female portrait",PA-F00916-0157,1974,"Anne Wyatt, Lady Twysden",,,,"Private Collection, U. K."
"painting, female portrait",PA-F00916-0181,1972,"Catherine (Willoughby), Mrs Clement Winstanley",,0. 762 x 0. 635 (30 x 25 inches),,"Lord Middleton, Birdsall, Yorks"
"painting, female portrait",PA-F00917-0007,1990,Unknown Girl,,,,Mr and Mrs Mallet
"painting, female portrait",PA-F00917-0015,1984,Unknown Lady,Pastel,,,Private Collection
"drawing, female portrait",PA-F00917-0061,1964,A Young Girl,,,,Denys Oppé
"painting, female portrait",PA-F00917-0063,1973,Unidentified Lady,Oval,0. 762 x 0. 635 (30 x 25 inches ),,"Major and Mrs R. P. Chaworth-Musters, Annesley Park, Nottinghamshire."
"painting, female portrait",PA-F00917-0067,1980,Girl,,,,Sir Robert Kirkwood KCMG
"painting, female portrait",PA-F00917-0075,1979,Young Girl Holding Flowers,,,,Lord Brownlow
"painting, female portrait",PA-F00917-0077,1979,Unknown Lady,Pastel,,,Lord Brownlow
"painting, british landscape",PA-F00918-0021,1964,detail From 'a View Of Bath',,,,Earl of Bessborough
"painting, british landscape, watercolour",PA-F00918-0023,1984,Park At Bayham Abbey With Woodland,Watercolour,,,Private Collection
"painting, british landscape, watercolour",PA-F00920-0033,1977,A Moorish Mosque Or Fort,Watercolour,0. 155 x 0. 102 (6 1/8 x 4 inches ),,A. Paul Oppé (1878–1957) 1924. D. L. T. Oppé (1684)
"drawing, foriegn landscape",PA-F00920-0057,1977,A French Church With Square Tower,Pencil on brown paper,0. 146 x 0. 204 (5 3/4 x 8 1/4 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1117)
"painting, british landscape, watercolour",PA-F00920-0061,1977,"Charmettes, Chambery, Sep 22 1871",Watercolour,0. 068 x 0. 118 (2 5/8 x 4 5/8 inches ),,A. Paul Oppé (1878–1957) 1913. D. L. T. Oppé (187a)
"painting, foriegn landscape",PA-F00921-0019,1976,A View Of An Archway,,,,"Anonymous sale, Christie's, 2 March 1976 (11/2)"
"painting, foriegn landscape",PA-F00921-0027,1977,"A Pool Among Rocks, May 1802",Grey wash,0. 222 x 0. 322 (8 3/4 x 12 3/4 inches ),,D. L. T. Oppé (279)
"painting, foriegn landscape, miniature",PA-F00921-0047,1977,Figures In A Mountainous Landscape,Grey wash,0. 108 x 0. 135 (4 1/4 x 5 1/4 inches ),,A. Paul Oppé (1878–1957) 1925. D. L. T. Oppé (1780)
"painting, foriegn landscape, miniature",PA-F00921-0053,1977,"Trees, Lake And Distant Mountains",Grey wash,0. 108 x 0. 135 (4 1/4 x 5 1/4 inches ),,A. Paul Oppé (1878–1957) 1925. D. L. T. Oppé (1780)
"painting, seascape, watercolour",PA-F00922-0011,1977,Span Of An Aqueduct Over An Estuary,Watercolour,0. 132 x 0. 165 (5 1/4 x 6 1/2 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1203)
"painting, seascape",PA-F00922-0021,1974,A Ship Off A Coast (An Indiaman),,0. 305 x 0. 413 (12 x 16 1/4 inches ),,Mrs Watson. Private Collection.
"drawing, male portrait, animal portrait, landscape",PA-F00923-0007,1977,A French Cavalryman,Black chalk on buff paper,0. 130 x 0. 196 (5 1/8 x 7 3/4 inches ),,A. Paul Oppé (1878–1957) 1930. D. L. T. Oppé (no non. )
"drawing, male portrait",PA-F00923-0015,1977,A Seated Boy,Black and white chalk on dark grey paper,0. 420 x 0. 286 (16 1/2 x 11 3/8 inches),,A. Paul Oppé (1878–1957) 1913. D. L. T. Oppé (188)
"watercolour, painting, women portrait, animal portrait",PA-F00924-0011,1966,,Watercolour,12 1/2 x 14 3/4 inches,,"Sir Edward Malet, Bart."
"drawing, male portrait, female portrait, miniature",PA-F00924-0021,1977,Musician Embracing A Girl,Pencil,0. 112 x 0. 176 (4 3/8 x 7 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1106)
"drawing, miniature, group portrait",PA-F00925-0009,1977,Figures Seen From The Rear,Pencil,0. 072 x 0. 115 (2 7/8 x 4 1/2 inches ),,D. L. T. Oppé
"historical event, painting, male portrait, female portrait, animal portrait",PA-F00925-0087,1969,Ulysses And Penelope,,0. 845 x 1. 030 (33 1/4 x 40 1/2 inches ),,"National Trust, Hardwicke Hall."
"miscellaneous painting, watercolour, miscellaneous designs",PA-F00926-0007,1976,Unidentified Stained Glass Design,,,,Record Office (House of Lords)
"miscellaneous painting, painting, male portrait",PA-F00927-0007,1986,Frontispiece Society Of Artists Catalogue 1762,,,Engraving Champion,British Museum
"painting, foriegn landscape",PA-F00927-0011,1993,Triumphal Arch,,,Engraving by David Loggan,British Museum
"miscellaneous painting, miscellaneous design, painting, male portrait, historical event, landscape",PA-F00927-0015,1993,Sot's Paradise,,,,British Museum
"allegory, painting, male portrait",PA-F00927-0019,1993,Oliver Cromwell,,,,British Museum
"drawing, animal portrait, miniature",PA-F00928-0033,1977,A Hound,Black and white chalks on grey paper,0. 126 x 0. 146 (5 x 5 3/4 inches ),,"G. S. Davies. sale Sotheby's 2 Deca. 1919 (13), bought A. Paul Oppé (1878–1957); D. L. T. Oppé (863)"
"allegory, painting, male portrait, historical event",PA-F00927-0003,1986,Martyrdom Of St Peter,,,Engraving Martino ROTA,British Museum 1874. 8. 8. 1941
"miscellaneous painting, miscellaneous design, painting, male portrait, historical event, landscape, miscellaneous drawing",PA-F00927-0013,1993,The May-Day Country Mirth:,,,,British Museum
"miscellaneous drawing, miscellaneous design",PA-F00927-0025,1993,Map Of Exchange Alley,,,,British Museum
female portrait,PA-F00927-0029,1969,"Virgo Persica From J J Boissard, Habitus Vararum Orbis Gentium 1581 The English Icon - Fig 26",,,,
"historical figure, british landscape, painting",PA-F00928-0051,1975,Cosmo Beating Gimcrack At Newmarket,,0. 863 x 1. 398(34 x 55 inches ),,Private Collection
"british landscape, painting",PA-F00918-0089,1964,"Fish Street Hill, Monument, Etc",,,,Lt-Cmdr & the Hon. Mrs Mildmay-White
"miniature, british landscape, painting, watercolour",PA-F00918-0107,1977,View In Derbyshire,Watercolour,0. 082 x 0. 120 (3 1/4 x 4 3/4 inches ),,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no)
"drawing, british landscape",PA-F00919-0039,1989,"Michelham Priory, Sussex",Pencil with traces of bodycolour,,,Private Collection (on loan to Michelham Priory)
"british landscape, watercolour, painting",PA-F00919-0081,1964,Old Sarum,Watercolour,0. 145 x 0. 190(5 7/8 x 7 1/2 inches ),Inscribed: in an unknown hand: June 1828,Martin Hardie (1875–1952); Paul Mellon (1907–1999)
"british landscape, watercolour, painting",PA-F00919-0097,1977,Stonehenge,Watercolour,0. 328 x 0. 482 (12 7/8 x 19 inches ),,A. Paul Oppé (1878–1957) 1925. D. L. T. Oppé (1745)
"foriegn landscape, painting",PA-F00920-0013,1976,19th Century Venetian View,,,,"Paul Getty, sutton place"
"foriegn landscape, painting, watercolour",PA-F00920-0027,1974,View On The Nile,Watercolour,0. 127 x 0. 191 (5 x 7 1/2 inches ),,"Private Collection, London."
"british landscape, painting",PA-F00920-0045,1966,Charing Cross With Northumberland House & The Statue Of Charles II,Oil on canvas,30 x 50 3/16 inches,,Paul Mellon (1907–1999)
"foriegn landscape, painting",PA-F00920-0051,1969,Indian Scene,,32 1/2 x 43 1/2 inches,,The Viscount Rothermere
"foriegn landscape, painting, seascape",PA-F00920-0063,1974,Castellamare And The Bay Of Naples,Watercolour,0. 293 x 0. 426 (11 1/2 x 16 3/4 inches ),,"Private, London."
"british landscape, painting, watercolour",PA-F00920-0067,1977,"View Of The Paarl, At The Cape",Watercolour and pen,0. 202 x 0. 278 (8 x 10 3/4 inches ),,"sale, Fosters, 21 February 1924, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (1603)"
"watercolour, painting, landscape",PA-F00921-0033,1975,"Old House, Church Spire On Right",Pen and ink and monoch. Wash,0. 19 x 0. 26(7 1/2 x 10 1/4 inches ),,"Sydney D. Kitson, by whom bequeathed to: R. I. B. A. , London"
"painting, landscape",PA-F00921-0043,1966,,,,,Mrs Robert Cuirliffe
"drawing, male portrait, miniature",PA-F00923-0017,1977,Author Or Actor Before A Curtain,Pencil,0. 152 x 0. 102 (6 x 4 inches ),,A. Paul Oppé (1878–1957) 1921. D. L. T. Oppé (1211)
"drawing, male portrait, miniature",PA-F00923-0019,1977,Male Figure,Pen,,,A. Paul Oppé (1878–1957) 1922. D. L. T. Oppé (1505)
"drawing, male portrait, miniature",PA-F00923-0035,1977,Male Nude,Pen,,,A. Paul Oppé (1878–1957) 1922. D. L. T. Oppé (1505)
"drawing, female portrait, miniature",PA-F00923-0045,1977,Lady Seated At A Table,Pencil,0. 248 x 0. 178 (9 3/4 x 7 inches ),,A. Paul Oppé (1878–1957) 1924. D. L. T. Oppé (1684)
"drawing, female portrait",PA-F00923-0053,1977,Female Nude,Black and white chalks on brown paper,,,D. L. T. Oppé (1896a)
"painting, interior, group portrait",PA-F00925-0003,1966,Victorian Interior With Figures S With Initials Ab & D 1850,Oil on canvas,28 x 36 inches,,"Bonhams, 6 January 1966"
"drawing, allegory",PA-F00925-0021,1977,Evil Spirits Round A Tomb,,,,"Fosters 1933, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (2034)"
"painting, watercolour, drawing, allegory, miniature",PA-F00925-0061,1977,Minerva Preserving To The World The Latin Grammar,Watercolour and pen,0. 095 x 0. 056 (3 5/8 x 2 1/4 inches ),,A. Paul Oppé (1878–1957) 1925. D. L. T. Oppé (1824)
"drawing, grey wash, allegory, miniature",PA-F00925-0079,1977,The Comedies Of Plautus,Grey wash and pen,0. 088 x 0. 176 (3 1/2 x 7 inches ),Engraving,A. Paul Oppé (1878–1957) 1924. D. L. T. Oppé (1659)
"drawing, grey wash, still life",PA-F00928-0013,1977,Branches And Foliage,Grey wash and pen,0. 185 x 0. 165 (7 1/4 x 6 5/8 inches ),,"T. Hudson. Parsons 1912, bought A. Paul Oppé (1878–1957); D. L. T. Oppé (143)"
"painting, male portrait, animal portrait",PA-F00928-0045,1964,"Royalist"" Afterwards ""Charlie"", A Chestnut Horse With Soldier""",Canvas,13 1/2 x 17 1/3 inches,,"Christie's, 16 July 1965 (47)"
"painting, male portrait",PA-F00903-0039,1984,Anthony Foster,,,,Private Collection
"painting, male portrait",PA-F00903-0049,1984,Robert Friend (1667–1751),,,,Westminster School
"painting, male portrait",PA-F00903-0091,1973,General Sir Charles Grey (1804–1870) As A Boy,,0.42 x 0.342 (16 1/2 x 13 1/2 inches),,"By family descent to Lady Mary Howick, Howick Grange, Alnwick, Northumberland."
"painting, male portrait",PA-F00903-0153,1964,Lieut William Hutton Ra 1964 (244),Canvas,27 1/2 x 20 inches,,Paul Mellon (1907–1999)
"painting, male portrait",PA-F00904-0039,1972,"George Lavington (1684–1762), Bishop Of Exeter (1746/7 – 1762)",,0.762 x 0.635 (30 x 25 inches),Inscribed upper right.,Bishop's Palace Exeter.
"painting, male portrait",PA-F00904-0043,1976,Mr Ledbitter,Pastel,0.229x0.178)9x7 inches),,"Anonymous sale, Phillips, (Gaynes Park) 6/7 October 1976 (179/i)"
"painting, male portrait, royal portrait",PA-F00904-0059,1985,"Sir Nicholas Le Strange (1584–1655) 1st Bart, Created Baronet",,28 x 24 in,,Private Collection
"painting, male portrait, royal portrait",PA-F00904-0065,1985,Sir Roger L'estrange (1616–1709),,22 x 18 1/2in,,Private Collection
"painting, male portrait, royal portrait",PA-F00904-0073,1972,Hon Robert Ridgway (1593–1640),,0.762 x 0.635 (30 x 25 inches),Inscribed top r. Aetatis Suae. 3. An Dni. 1596,"Lord Middleton, Birdsall, Yorks"
"painting, male portrait",PA-F00905-0049,1972,Portrait Of Sir Nicholas Bailey,,1.244 x 0.991 (49 x 39 inches),Indistinctly signed and dated 1763.,"Anonymous sale, Christie's, 2/3 November 1972 (299), bought Lacy"
"painting, male portrait",PA-F00905-0095,1970,Portrait Of Thomas Bray,,,,
"painting, male portrait, royal portrait",PA-F00905-0103,1974,"Sir Book Bridges, 2nd Bt",,about: 0.635 x 0.508(25 x 20 inches),,"Private collection, U. K."
"painting, male portrait",PA-F00906-0031,1973,Munday Musters Of Colwick,,1.270 x 1.016 (50 x 40 inches),,"Major and Mrs R. P. Chaworth-Musters, Annesley Park, Nottinghamshire, sale at Annesley Park, 16. 3. 1973 (1143)"
"painting, male portrait",PA-F00906-0035,1974,"Probably Robert Myddleton Of Chirk, (D 1733)",,,,"Private collection, U. K."
"painting, male portrait",PA-F00906-0055,1972,"Rev Henry Nicholls, Mayor Of Barnstaple 1826",,0.889 x 0.508 (35 x 20 inches ),,"The Guildhall, Barnstaple."
"painting, male portrait, royal portrait",PA-F00906-0099,1972,"James Drumond, 6th Earl Of Perth",,0.368 x 0.292 (14 1/2 x 11 1/2 inches),,Cadland Settled Estates
"painting, male portrait",PA-F00906-0107,1984,Master Phillimore,,,,Westminster School
"painting, male portrait",PA-F00906-0121,1977,The Hon Daniel Pulteney,,2.337 x 1.422(92 x 56 inches),,"Harris Museum and Art Gallery, Preston, Lancs."
"painting, male portrait, royal portrait",PA-F00907-0003,1974,Said To Be Edric Sylvestris (D1089) Ancestor Of The Sylvester's Of Wirral,Panel,c.1.420 x 0.610 (56 x 24 inches),Dated upper left: Anno Domini / 1578,"Sir Thomas Stanley, Bart. , Of Hooton; Purchased by Sir Thomas Frost, 1883 (when Lo Mayor) & presented by him to the city of Chester, Town Hall, Chester."
"painting, male portrait, royal portrait",PA-F00907-0027,1973,"Sir Robert Shirley, 4th Bt (D1656)",,0.889 x 0.609 (30 x 24 inches),,"Earl Ferrers, Hedenham Hall, Norfolk."
"painting, male portrait",PA-F00907-0057,1972,"Anthony Sparrow (D1686), Bishop Of Exeter (1667–1676), Bishop Of Norwich (1676–1686)",,0.71 x 0.48,,"Bishop's Palace, Exeter."
"painting, male portrait",PA-F00907-0087,1985,Nicholas Styleman (1722–1788),,29 x 23in,,Private Collection
"painting, male portrait",PA-F00908-0017,1972,"John Tregonwell (1601–1667) Of Milton Abbey, Dorset",,0.508 x 0.407; (20 x 16 inches),,By descent to the present owner; Private Collecton.
"painting, male portrait, royal portrait",PA-F00908-0057,1978,Lord Wharton,,1.295 x 1.17 (51 x 46 inches),Inscribed and dated 1608,"Anonymous sale, Bonhams 2 February 1978 (191)"
"painting, male portrait",PA-F00908-0081,1972,Sir Francis Willoughby (D1665),,0.762 x 0.635 (30 x 25 inches),Inscribed and dated top l. AN DNI 1661 Aetatis Suae 75,"Lord Middleton Birdsall, Yorks."
"painting, male portrait",PA-F00908-0109,1974,"Cadwaladr Wynne Of Voelas, High Sheriff Of Denbighshire",,,,
"painting, male portrait",PA-F00908-0121,1973,Rev John Yonge (1788 – 1863),,0.762 x 0.635 (30 x 25 inches),,"Commander Philip Yonge RN, Pulsinch, Yealmpton. Nr. Plymouth, Devon"
"painting, male portrait",PA-F00909-0015,1984,Unknown Man,,,,Private Collection
"painting, male portrait",PA-F00909-0025,1989,Portrait Of A Gentleman,,0.616 x 0.495 (24 1/4 x 19 1/2 inches),Inscribed: Aetatis Suae/36/Anno 1617,Brickwall House School E. Sussex
"painting, male portrait",PA-F00909-0061,1972,Portrait Of A Unknown Man,,,,"Countess Waldegrave, Chewton House, Chewton Mendip"
"drawing, male portrait",PA-F00909-0073,1983,Head Of A Man,Red chalk,0.335 x 0.290 (13 1/4 x 11 1/2 inches),,Evelyn Newby
"painting, male portrait, female portrait, royal portrait, group portrait",PA-F00911-0013,1973,"Supposed To Be William Aubrey, D C L And His Wife; But More Likely To Be Sir Thomas Aubrey, Kt And Mary Mansel His Wife",,1. 219 x 1. 270 (48 x 50 inches),,"Sir John Aubrey-Fletcher, Bart. Chilton House Estate Office."
"painting, male portrait, royal portrait, group portrait",PA-F00911-0037,1989,Henry VIII With His Son The Prince Of Wales,On panel,0. 978 x 0. 737 (38 1/2 x 29 inches),,Brickwall House School E. Sussex
"painting, male portrait, female portrait, group portrait",PA-F00911-0047,1985,"Henry L'estrange Styleman Le Strange, Emilia (Styleman) Fitzroy And Armine (Styleman) Campbell",,,,Private Collection
"miscellaneous painting, miscellaneous designs",PA-F00912-0027,1979,Commemorative Triptych Of The St John Family,,,,"St Mary's, Lydiard Tregoze. Wilts"
"painting, group portrait, female portrait",PA-F00912-0033,1979,Commemorative Triptych Of The St John Family,,,,"St Mary's, Lydiard Tregoze, Wilts."
"painting, group portrait, female portrait, male portrait",PA-F00912-0035,1979,Commemorative Triptych Of The St John Family,,,,"St Mary's, Lydiard Tregoze, Wilts."
"painting, group portrait, female portrait, male portrait",PA-F00912-0043,1972,"Christopher Smith Of London, Wine Merchant, His Wife, And Two Sons Newman The Elder, And Sebastian, Born Ca 1797",,1. 244 x 1. 160 (49 x 40 inches),,By descent to the present owner. Private Collecton.
"painting, female portrait, miniature",PA-F00913-0013,1979,Horace Walpole As A Child,Miniature,,,"Lord Walpole, Wolterton Park, Norwich"
"painting, female portrait, miniature",PA-F00913-0015,1979,Robert Walpole As A Child,Miniature,,,Lord Walpole
"painting, female portrait, royal portrait",PA-F00914-0043,1974,Margaretta D Of Sir Brook Bridges Ilstbt Wife Of John Plumptre Of Nottingham,,0. 635 x 0. 508(25 x 20 inches ),,"Private Collection, U. K."
"painting, female portrait",PA-F00914-0067,1970,Miss Conolly,Pastel,,,"Private Collection, U. K."
"painting, female portrait",PA-F00914-0081,1974,Mary Davis,,18 1/2 x 15 470 x 380mm,,Leggatt. Paul Mellon (1907–1999)
"painting, female portrait",PA-F00914-0091,1972,"Isabella Elwes (1830-1868) Wife Of J H E Elwes Of Stoke College, Suffolk",,0. 279 x 0. 216 (11 x 8 1/2 inches),,By descent to the present owner. Private Collecton.
"painting, female portrait",PA-F00915-0005,1985,Mary(ca.ole) Lady L'estrange (1629-1661),,,,Private Collection
"painting, female portrait",PA-F00915-0017,1985,"Anne Lewkenor, Wife Of Sir Nicholas Le Strange (1612-1651)",,,,Private Collection
"drawing, female portrait, miniature",PA-F00915-0019,1977,Elizabeth Leslie (D 1861),Watercolour on card,0. 078 x 0. 070 (3 i/16 x 2 3/4 inches ),,Private Collection
"painting, female portrait",PA-F00915-0053,1973,Mrs Honeywood,,,,"Cathedral Library, Lincoln."
"drawing, female portrait",PA-F00915-0065,1972,Nell Gwynne,Line engraving,0. 20 x 0. 15 (7 7/8 x 5 7/8 inches ),,The Duke of St. Albans.
"drawing, female portrait, royal portrait",PA-F00916-0027,1969,"Portrait Of A Lady Called Penelope, Lady Mountjoy",,,,Eric Bullivant
"drawing, female portrait, royal portrait",PA-F00916-0031,1973,"Bethia Hope, Lady Nairne, Daughter Of Lord Rankeillour",,0. 762 x 0. 635 (30 x 25 inches),,"Sir Archibald Hope, bought , Upton Grey Lodge, Basingstoke."
"drawing, female portrait, royal portrait",PA-F00916-0039,1972,"Elizabeth, Baroness Norris (Norreys) B + 1600 D 1645, M 1622 Edward Wray Daughter Of Francis Norris, Earl Of Berkshire",,,,"Ex Collection Earl of Abingdon, Geffrye Museum, London."
"drawing, female portrait",PA-F00916-0059,1973,Mary Elizabeth Ponsonby,,0. 395 x 0. 318 (15 1/2 x 12 1/2 inches ),,"By descent to Lady Mary Howick, Howick Grange, Alnwick Northumberland."
"drawing, female portrait",PA-F00916-0065,1985,Blanche Ashley Wife Of Edward Pratt (1727-1805),,,,Private Collection
"drawing, female portrait",PA-F00916-0111,1977,Katherine Slabaert,Panel,0. 470 x 0. 342 (18 1/2 x 13 1/2 inches ),,Private Collection
"drawing, female portrait",PA-F00917-0013,1987,A Nun Ibvm,,,,"Ascot, St. Mary's Convent"
"drawing, female portrait",PA-F00917-0023,1969,Unknown Lady Dated 1595,,,,Eric Bullivant Esq.
"drawing, female portrait, miniature",PA-F00917-0027,1977,Unknown Woman (Said To Be A Hamilton),Watercolour on card: miniature,0. 054 (2 1/6 inches High),Inscribed: D. M. L. L. H.,Private Collection
"drawing, female portrait, royal portrait",PA-F00917-0041,1980,A Noblewoman,Panel,0. 775 x 0. 648 (30 1/2 x 25 1/2 inches ),Coat of arms on top left.,"Gunton Park sale, 26 September 1980 (1612)"
"drawing, female portrait",PA-F00917-0073,1979,Unknown Lady,,,,Lord Brownlow
"painting, british landscape",PA-F00918-0017,1964,detail From 'a View Of Bath',,,,Earl of Bessborough
"painting, british landscape",PA-F00918-0043,1985,View Of Claremont,,,,Private Collection
"painting, british landscape, watercolour, miniature",PA-F00918-0099,1977,View In Derbyshire,Watercolour,0. 082 x 0. 120 (3 1/4 x 4 3/4 inches ),,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no)
"painting, british landscape, watercolour, miniature",PA-F00918-0105,1977,View In Derbyshire,Watercolour,0. 082 x 0. 120 (3 1/4 x 4 3/4 inches ),,Coles bequest 1954 to A. Paul Oppé (1878–1957); D. L. T. Oppé (no no)
"painting, british landscape",PA-F00919-0013,1964,Horse Guards Parade,,,,Lt. Commander & the Hon. Mrs Mildmay-White
"painting, british landscape",PA-F00919-0065,1964,View Of The Thames Towards Lambeth,Oil on canvas,25 3/4 x 62 inches,,"O. K. Whatley Esq. , Holtye House, Cowden, Kent."
"painting, foriegn landscape",PA-F00920-0017,1974,Taranto - The Old Town From The North East,Watercolour,0. 223 x 0. 362 (8 3/4 x 14 1/8 inches ),Inscribed and dated lower right: Taranto/Ap. 62,"Private, London."
